fid,ID,AREA,BLOCK,BG,TRACT,COUNTY,MSA,POPULATION,MALE,FEMALE,AGE_0_5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_59,AGE_60_64,AGE_65_74,AGE_75_84,AGE_85,MEDIAN_AGE,AGE_18,MALE_18,FEMALE_18,AGE_21,AGE_62,AGE_65,MALE_65,FEMALE_65,F1_RACE,WHITE,BLACK,AMINDIAN,ASIAN,HAWAIIAN,OTHER_RACE,F2_RACES,AP_WHITE,AP_BLACK,AP_AMINDIA,AP_ASIAN,AP_HAWAIIA,AP_OTHER,AP_HISPANI,NOT_HISPAN,NH_WHITE,IN_HOUSEHO,GROUP_QUAR,GQ_INSTITU,GQ_NONINST,HOUSEHOLDS,HH_FAMILY,HH_NONFAMI,AVG_HHSIZE,AVG_FAMSIZ,HSNG_UNITS,HU_OCCUPIE,HU_VACANT,OCCHU_OWNE,OCCHU_RENT,OWNER_SIZE,RENTER_SIZ,DENSITY,BURGLARY,ASSAULT,THEFT,BURG_D,ASSALT_D,THEFT_D,lon,lat
"68",709513,0.01,"390610042001005","390610042001","39061004200","39061","1640",51,26,25,1,2,0,1,1,5,10,9,3,4,7,6,2,53.3,47,25,22,47,17,15,6,9,51,3,47,0,0,0,1,0,3,47,0,0,0,1,1,50,3,51,0,0,0,42,2,40,1.21,4,43,42,1,1,41,1,1.22,10089.2509,"0","0","0",0,0,0,-84.4764572888112,39.1286904022994
"69",709531,0.01,"390610037001002","390610037001","39061003700","39061","1640",11,9,2,1,0,0,0,0,2,4,2,0,0,2,0,0,41.8,10,8,2,10,2,2,2,0,11,0,11,0,0,0,0,0,0,11,0,0,0,0,0,11,0,11,0,0,0,7,1,6,1.57,2,22,7,15,0,7,0,1.57,1000.1608,"0","1","4",0,1,1,-84.478886081481,39.1291957043307
"70",709550,0.01,"390610037001000","390610037001","39061003700","39061","1640",7,0,7,0,1,0,1,1,0,1,0,0,0,1,2,0,44.5,6,0,6,4,3,3,0,3,7,0,7,0,0,0,0,0,0,7,0,0,0,0,0,7,0,7,0,0,0,4,2,2,1.75,2.5,6,4,2,0,4,0,1.75,947.5052,"0","0","2",0,0,1,-84.4780678112287,39.1298524862053
"71",709569,0.01,"390610041002005","390610041002","39061004100","39061","1640",47,15,32,2,4,3,3,2,4,8,8,7,2,1,3,0,42.5,35,11,24,35,4,4,0,4,47,10,37,0,0,0,0,0,10,37,0,0,0,0,0,47,10,47,0,0,0,19,12,7,2.47,2.75,28,19,9,7,12,2.29,2.58,4266.2283,"0","0","0",0,0,0,-84.4777547641606,39.1308286315307
"72",709605,0.1,"390610036001003","390610036001","39061003600","39061","1640",351,148,203,16,21,11,18,9,38,48,35,9,11,40,49,46,48.2,289,119,170,285,143,135,52,83,351,11,340,0,0,0,0,0,11,340,0,0,0,0,0,351,11,250,101,101,0,119,52,67,2.1,3.13,137,119,18,31,88,2.87,1.83,3344.4579,"0","3","2",0,1,1,-84.4822653321592,39.1341089652726
"73",709637,0.04,"390610036001000","390610036001","39061003600","39061","1640",103,48,55,11,8,8,10,10,8,13,18,5,2,6,2,2,28.5,70,31,39,64,12,10,6,4,103,0,103,0,0,0,0,0,0,103,0,0,0,0,0,103,0,103,0,0,0,37,26,11,2.78,3.38,46,37,9,25,12,2.8,2.75,2705.3799,"1","2","1",1,1,1,-84.4837895249325,39.1385934366261
"74",699143,0.01,"390610032001004","390610032001","39061003200","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,0,0,-84.5031132023956,39.1359169019151
"75",699162,0.01,"390610032002000","390610032002","39061003200","39061","1640",98,58,40,0,0,0,45,6,16,16,15,0,0,0,0,0,24,54,36,18,52,0,0,0,0,97,42,55,0,0,0,0,1,43,56,0,0,0,0,0,98,42,0,98,77,21,0,0,0,0,0,2,0,2,0,0,0,0,8677.1914,"0","2","3",0,1,1,-84.5018380840813,39.1338961722061
"76",699182,0,"390610032001009","390610032001","39061003200","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","3","1",0,1,1,-84.5016930001092,39.1353100015599
"77",699201,0,"390610032001003","390610032001","39061003200","39061","1640",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64.5,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,2,1,1,1,0,1,0,254.7764,"0","0","1",0,0,1,-84.5016430002082,39.1360600017349
"78",699218,0.05,"390610032001002","390610032001","39061003200","39061","1640",70,34,36,7,8,6,2,4,6,14,9,5,3,3,3,0,37.5,48,19,29,47,8,6,0,6,68,40,25,1,0,0,2,2,42,26,2,0,0,2,3,67,39,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1555.3515,"0","1","6",0,1,1,-84.5031288015142,39.1378695459722
"79",699239,0.01,"390610021002004","390610021002","39061002100","39061","1640",40,22,18,2,0,0,2,8,4,9,6,2,2,3,2,0,43,36,20,16,35,6,5,2,3,40,11,29,0,0,0,0,0,11,29,0,0,0,0,0,40,11,40,0,0,0,20,9,11,2,2.56,23,20,3,8,12,2.63,1.58,7224.6969,"0","0","0",0,0,0,-84.4995821316215,39.1253971215864
"80",699258,0.02,"390610034002013","390610034002","39061003400","39061","1640",4,3,1,0,0,2,0,0,0,2,0,0,0,0,0,0,28.5,2,1,1,2,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,1,1,0,4,4,1,1,0,1,0,4,0,255.9509,"0","2","6",0,1,1,-84.4996272819207,39.1268746157356
"81",699279,0,"390610021002003","390610021002","39061002100","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","1",0,0,1,-84.4984712575403,39.1256968871632
"82",699297,0,"390610034002011","390610034002","39061003400","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,0,0,-84.4988308042847,39.1278502458248
"83",699315,0,"390610034002010","390610034002","39061003400","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,0,0,-84.4984410394551,39.1283354908138
"84",699332,0,"390610034002015","390610034002","39061003400","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"0","1","0",0,1,0,-84.4975435313252,39.1266092060173
"85",699352,0,"390610035002015","390610035002","39061003500","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,0,0,-84.4966599435538,39.1265403269898
"86",699371,0,"390610034002014","390610034002","39061003400","39061","1640",14,4,10,1,2,0,0,3,2,5,0,0,0,0,1,0,25.5,11,3,8,10,1,1,0,1,14,0,14,0,0,0,0,0,0,14,0,0,0,0,0,14,0,14,0,0,0,9,5,4,1.56,2,11,9,2,0,9,0,1.56,3500.3926,"0","0","1",0,0,1,-84.4973388325141,39.1274433344129
"87",699391,0.02,"390610034002009","390610034002","39061003400","39061","1640",15,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,17.1,0,0,0,0,0,0,0,0,15,7,8,0,0,0,0,0,7,8,0,0,0,0,0,15,7,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,843.8623,"0","1","1",0,1,1,-84.4970608135769,39.128801875264
"88",699415,0.02,"390610034002008","390610034002","39061003400","39061","1640",52,33,19,0,1,0,3,11,10,11,10,1,0,2,2,1,35.5,50,31,19,47,5,5,2,3,52,19,32,0,0,0,1,0,19,32,0,0,0,1,2,50,18,52,0,0,0,47,3,44,1.11,2,59,47,12,1,46,2,1.09,2243.1294,"0","1","3",0,1,1,-84.4999920933171,39.1294585109684
"89",699434,0.01,"390610034002007","390610034002","39061003400","39061","1640",140,46,94,0,0,0,0,0,0,2,4,4,10,30,41,49,80.3,140,46,94,140,125,120,33,87,137,10,127,0,0,0,0,3,11,130,3,0,0,0,0,140,10,0,140,140,0,0,0,0,0,0,0,0,0,0,0,0,0,15062.2033,"1","0","0",1,0,0,-84.4988041553023,39.1308633878909
"90",699453,0.01,"390610034002006","390610034002","39061003400","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","1",0,0,1,-84.4984765694963,39.1320781300631
"91",699472,0.02,"390610034001010","390610034001","39061003400","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,0,0,-84.4968456763607,39.1310761777072
"92",699494,0,"390610021002000","390610021002","39061002100","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,0,0,-84.4963574139184,39.1257577069301
"93",699512,0,"390610021001006","390610021001","39061002100","39061","1640",12,6,6,0,0,2,1,0,1,3,1,0,0,4,0,0,42,9,3,6,9,4,4,2,2,12,1,11,0,0,0,0,0,1,11,0,0,0,0,0,12,1,12,0,0,0,4,3,1,3,3.33,8,4,4,1,3,1,3.67,10743.5154,"0","0","1",0,0,1,-84.4955055694104,39.1253442214705
"94",699531,0,"390610021001005","390610021001","39061002100","39061","1640",2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,34.5,2,1,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,1,1,0,2,2,4,1,3,0,1,0,2,1333.4528,"0","0","0",0,0,0,-84.4954763336332,39.1257340743935
"95",699549,0,"390610035002016","390610035002","39061003500","39061","1640",2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,67,2,2,0,2,1,1,1,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,1,0,1,2,0,8,1,7,1,0,2,0,613.698,"0","0","0",0,0,0,-84.496018002403,39.126441249267
"96",699568,0,"390610021001007","390610021001","39061002100","39061","1640",22,8,14,2,4,2,1,2,4,4,0,0,0,3,0,0,24.5,13,5,8,12,3,3,1,2,22,0,22,0,0,0,0,0,0,22,0,0,0,0,0,22,0,22,0,0,0,5,3,2,4.4,4.67,6,5,1,2,3,7.5,2.33,23761.9038,"0","0","0",0,0,0,-84.4945763336059,39.1252866672733
"97",699587,0,"390610021001004","390610021001","39061002100","39061","1640",36,17,19,5,5,6,4,4,3,5,3,0,0,0,0,1,17,17,5,12,15,1,1,1,0,36,1,35,0,0,0,0,0,1,35,0,0,0,0,0,36,1,36,0,0,0,12,8,4,3,3.88,15,12,3,1,11,1,3.18,18341.2616,"1","0","0",1,0,0,-84.4945159562287,39.1256637743702
"98",699604,0,"390610035002017","390610035002","39061003500","39061","1640",14,4,10,1,0,1,0,2,1,0,6,2,0,0,1,0,48.5,12,4,8,12,1,1,0,1,14,1,13,0,0,0,0,0,1,13,0,0,0,0,0,14,1,14,0,0,0,10,3,7,1.4,2.33,13,10,3,0,10,0,1.4,5478.7666,"0","1","0",0,1,0,-84.4952705373038,39.126500578797
"99",699622,0,"390610035002011","390610035002","39061003500","39061","1640",38,20,18,1,4,3,1,3,8,5,9,0,0,3,1,0,33.5,29,13,16,28,4,4,2,2,36,19,16,0,0,0,1,2,21,16,2,0,0,1,2,36,19,38,0,0,0,22,7,15,1.73,2.43,34,22,12,5,17,2.2,1.59,7803.0494,"1","4","7",1,1,1,-84.4944152421264,39.1265035973536
"100",699644,0,"390610035002014","390610035002","39061003500","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,0,0,-84.4962217888994,39.1273024240759
"101",699662,0,"390610035002012","390610035002","39061003500","39061","1640",21,11,10,1,0,3,3,2,0,1,6,0,1,3,0,1,45.5,16,8,8,13,5,4,1,3,21,0,21,0,0,0,0,0,0,21,0,0,0,0,0,21,0,21,0,0,0,11,6,5,1.91,2.67,14,11,3,3,8,2.67,1.63,10599.3148,"0","0","0",0,0,0,-84.4953940907287,39.127263427343
"102",699681,0,"390610035002004","390610035002","39061003500","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,0,0,-84.4956160964284,39.1284651940529
"103",699700,0,"390610035002013","390610035002","39061003500","39061","1640",17,10,7,0,0,2,5,0,2,4,2,0,0,2,0,0,33.5,12,8,4,10,2,2,1,1,17,4,13,0,0,0,0,0,4,13,0,0,0,0,0,17,4,17,0,0,0,7,3,4,2.43,4,8,7,1,2,5,4,1.8,9245.804,"0","1","0",0,1,0,-84.4952800256668,39.1277724876858
"104",699718,0,"390610035002005","390610035002","39061003500","39061","1640",26,16,10,2,2,6,1,2,1,6,2,0,0,3,1,0,27.5,16,9,7,15,4,4,3,1,26,1,24,0,0,0,1,0,1,24,0,0,0,1,0,26,1,26,0,0,0,12,5,7,2.17,3.4,12,12,0,2,10,3,2,9977.1555,"0","0","3",0,0,1,-84.4950748662754,39.1285755262017
"105",699736,0,"390610021001008","390610021001","39061002100","39061","1640",45,16,29,10,13,5,5,4,5,3,0,0,0,0,0,0,9.9,14,2,12,11,0,0,0,0,41,0,38,0,0,0,3,4,0,42,3,0,0,4,3,42,0,45,0,0,0,11,11,0,4.09,4.09,13,11,2,0,11,0,4.09,50628.9598,"0","0","2",0,0,1,-84.4935346669873,39.1252350007767
"106",711584,0.01,"390610067004007","390610067004","39061006700","39061","1640",287,111,176,22,27,13,20,14,27,31,19,9,16,47,31,11,41.9,213,77,136,203,102,89,22,67,285,1,282,0,0,0,2,2,1,284,1,0,0,3,5,282,1,287,0,0,0,169,45,124,1.7,3.33,205,169,36,14,155,2.43,1.63,21989.7915,"4","5","4",1,1,1,-84.4911332124786,39.1414779241526
"107",711604,0.02,"390610067004002","390610067004","39061006700","39061","1640",134,68,66,7,14,11,18,14,18,18,13,4,9,5,0,3,25.6,90,36,54,83,11,8,4,4,134,3,129,1,0,0,1,0,3,129,1,0,0,1,0,134,3,134,0,0,0,49,35,14,2.73,3.17,58,49,9,21,28,3,2.54,6913.3996,"1","0","1",1,0,1,-84.4886937018037,39.1434497053601
"108",711620,0.02,"390610068002000","390610068002","39061006800","39061","1640",120,64,56,3,11,20,17,5,13,24,11,5,4,5,1,1,26.7,77,39,38,67,11,7,3,4,118,0,118,0,0,0,0,2,1,120,2,0,0,0,0,120,0,120,0,0,0,45,25,20,2.67,3.84,60,45,15,9,36,2.44,2.72,5379.6715,"0","2","6",0,1,1,-84.4909133480535,39.1466873008294
"109",711663,0.03,"390610067004001","390610067004","39061006700","39061","1640",254,113,141,26,27,22,9,17,32,37,25,18,6,23,10,2,32.8,172,69,103,170,36,35,8,27,254,4,249,0,1,0,0,0,4,249,0,1,0,0,8,246,4,254,0,0,0,107,69,38,2.37,2.87,129,107,22,43,64,2.23,2.47,7469.0991,"0","2","2",0,1,1,-84.4874664352059,39.1425795198219
"110",711690,0.02,"390610066002002","390610066002","39061006600","39061","1640",375,162,213,27,60,43,29,27,49,44,31,23,7,15,13,7,25.2,221,87,134,211,39,35,15,20,375,1,373,0,0,0,1,0,1,373,0,0,0,1,1,374,1,375,0,0,0,131,90,41,2.86,3.44,150,131,19,25,106,2.8,2.88,18402.2275,"3","6","5",1,1,1,-84.4872844536018,39.1453042895404
"111",711710,0.03,"390610066002001","390610066002","39061006600","39061","1640",219,91,128,12,17,24,28,18,24,36,26,7,7,9,11,0,31.3,147,53,94,132,23,20,7,13,214,6,205,0,0,0,3,5,6,210,2,0,0,6,1,218,6,219,0,0,0,74,54,20,2.96,3.5,90,74,16,37,37,3.38,2.54,6572.2998,"0","1","20",0,1,1,-84.4863260709324,39.1445295722985
"112",711733,0,"390610067004000","390610067004","39061006700","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,0,0,-84.4842096676377,39.1436933336192
"113",711749,0.04,"390610066001004","390610066001","39061006600","39061","1640",433,213,220,36,51,41,39,28,52,62,41,21,17,28,10,7,29.2,276,123,153,261,54,45,17,28,428,4,424,0,0,0,0,5,7,429,2,1,0,1,0,433,4,433,0,0,0,179,107,72,2.42,3.19,215,179,36,46,133,2.83,2.28,10939.7842,"3","1","2",1,1,1,-84.4861053779185,39.1464727198087
"114",656719,0.06,"390610023001001","390610023001","39061002300","39061","1640",340,157,183,44,31,38,27,42,62,39,34,5,4,12,2,0,23.5,210,90,120,192,16,14,5,9,340,30,308,0,1,0,1,0,30,308,0,1,0,1,0,340,30,340,0,0,0,151,79,72,2.25,3.08,194,151,43,14,137,2.29,2.25,5813.2877,"0","0","12",0,0,1,-84.5112611146129,39.1238405076849
"115",656750,0,"390610023001006","390610023001","39061002300","39061","1640",90,39,51,13,18,14,12,9,13,7,3,1,0,0,0,0,15,36,11,25,31,0,0,0,0,90,0,90,0,0,0,0,0,0,90,0,0,0,0,0,90,0,90,0,0,0,22,22,0,4.09,4,33,22,11,0,22,0,4.09,55229.6771,"0","0","0",0,0,0,-84.5101430004364,39.1225600009946
"116",738259,0.01,"390610042002004","390610042002","39061004200","39061","1640",144,71,73,8,5,2,6,21,36,24,20,7,2,8,1,4,31.7,124,59,65,121,15,13,3,10,144,58,86,0,0,0,0,0,58,86,0,0,0,0,0,144,58,144,0,0,0,87,24,63,1.66,2.79,96,87,9,21,66,2.29,1.45,10984.0124,"1","1","2",1,1,1,-84.475791027003,39.1256869257882
"117",738277,0.01,"390610042002003","390610042002","39061004200","39061","1640",184,78,106,5,2,2,3,9,16,25,26,19,15,29,26,7,55.7,172,75,97,167,67,62,21,41,182,37,144,0,1,0,0,2,37,146,2,1,0,0,2,182,37,184,0,0,0,144,21,123,1.28,2.52,147,144,3,16,128,2.25,1.16,17808.0053,"1","1","2",1,1,1,-84.4744559065818,39.1256832929531
"118",738294,0.01,"390610042001007","390610042001","39061004200","39061","1640",50,26,24,4,4,2,6,5,13,8,5,1,0,0,2,0,28,39,22,17,33,2,2,0,2,49,20,29,0,0,0,0,1,21,29,1,0,0,0,0,50,20,50,0,0,0,24,9,15,2.08,3.22,35,24,11,10,14,2.5,1.79,6338.7504,"0","0","0",0,0,0,-84.4754691374163,39.1275404386209
"119",738313,0.01,"390610042001004","390610042001","39061004200","39061","1640",34,18,16,4,4,0,1,1,13,5,1,0,2,2,0,1,30.7,25,13,12,25,5,3,1,2,34,14,19,1,0,0,0,0,14,19,1,0,0,0,0,34,14,34,0,0,0,15,11,4,2.27,2.64,16,15,1,8,7,2.63,1.86,5276.5591,"0","0","1",0,0,1,-84.4752125434929,39.128846494282
"120",738330,0,"390610042001008","390610042001","39061004200","39061","1640",67,27,40,4,0,1,2,7,28,7,8,3,2,2,2,1,30.5,62,25,37,60,6,5,2,3,67,43,24,0,0,0,0,0,43,24,0,0,0,0,0,67,43,67,0,0,0,44,14,30,1.52,2.29,48,44,4,15,29,1.73,1.41,14531.7777,"0","1","1",0,1,1,-84.4741640186536,39.1274233195875
"121",683125,0.04,"390610030003000","390610030003","39061003000","39061","1640",116,80,36,0,0,0,23,86,5,1,1,0,0,0,0,0,20.9,116,80,36,55,0,0,0,0,107,52,50,1,4,0,0,9,54,56,8,7,0,0,2,114,50,0,116,0,116,0,0,0,0,0,0,0,0,0,0,0,0,2745.6706,"0","0","0",0,0,0,-84.5185802957185,39.1378498438417
"122",683147,0,"390610030003001","390610030003","39061003000","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,0,0,-84.5186773336686,39.1384933335032
"123",683161,0,"390610030001004","390610030001","39061003000","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,0,0,-84.5176573359217,39.1403533335227
"124",683177,0.05,"390610030001003","390610030001","39061003000","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","3","1",0,1,1,-84.5172406169175,39.1408033381106
"125",683241,0.01,"390610025001007","390610025001","39061002500","39061","1640",74,48,26,1,0,0,14,47,4,3,0,2,1,1,1,0,21.3,71,46,25,42,2,2,1,1,71,62,5,0,3,0,1,3,65,5,0,3,0,4,2,72,61,74,0,0,0,37,4,33,2,2.25,39,37,2,0,37,0,2,8291.3463,"0","0","4",0,0,1,-84.5163955906164,39.1276786826164
"126",683260,0.03,"390610030003009","390610030003","39061003000","39061","1640",900,405,495,0,0,0,744,148,6,1,1,0,0,0,0,0,19.3,895,403,492,56,0,0,0,0,873,634,212,1,26,0,0,27,657,228,14,32,1,0,5,895,632,4,896,0,896,4,0,4,1,0,6,4,2,0,4,0,1,35491.7198,"0","5","7",0,1,1,-84.5158908648003,39.1286368114052
"127",683329,0,"390610033002020","390610033002","39061003300","39061","1640",57,26,31,4,1,4,7,32,5,1,0,1,0,1,1,0,21.6,45,22,23,34,2,2,1,1,57,40,14,2,0,0,1,0,40,14,2,0,0,1,0,57,40,57,0,0,0,22,6,16,2.59,3.5,27,22,5,2,20,1.5,2.7,14728.9774,"1","0","12",1,0,1,-84.5137492635433,39.1275260293314
"128",683349,0,"390610030003010","390610030003","39061003000","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","1",0,0,1,-84.5133103779803,39.1281800818633
"129",683367,0.07,"390610030002002","390610030002","39061003000","39061","1640",618,380,238,0,0,0,561,55,2,0,0,0,0,0,0,0,19.3,617,379,238,22,0,0,0,0,610,532,64,0,14,0,0,8,538,69,1,19,0,0,8,610,524,1,617,0,617,1,0,1,1,0,1,1,0,0,1,0,1,8792.3227,"0","0","0",0,0,0,-84.5140678015976,39.1308387054301
"130",683392,0,"390610025001003","390610025001","39061002500","39061","1640",4,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,48.5,4,4,0,4,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,4,0,0,0,2,0,2,2,0,8,2,6,2,0,2,0,3777.4826,"0","0","1",0,0,1,-84.5123091136591,39.1265240703393
"131",683432,0,"390610025001000","390610025001","39061002500","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,"0","0","0",0,0,0,-84.5118267323025,39.1268592055327
"132",683449,0,"390610033002019","390610033002","39061003300","39061","1640",63,39,24,1,3,8,3,28,4,3,2,0,2,5,3,1,22.3,51,29,22,42,10,9,3,6,61,32,24,3,1,0,1,2,34,25,3,1,0,2,2,61,32,54,9,9,0,24,5,19,2.25,4.6,30,24,6,0,24,0,2.25,13335.9109,"0","0","3",0,0,1,-84.5120394667636,39.1274590793694
"133",683469,0.01,"390610030002004","390610030002","39061003000","39061","1640",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21.5,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,121.0239,"0","0","0",0,0,0,-84.5119526886567,39.1283515748396
"134",683489,0.02,"390610023001000","390610023001","39061002300","39061","1640",84,43,41,3,1,3,11,39,6,5,4,7,3,1,1,0,22.3,73,38,35,58,3,2,1,1,84,48,36,0,0,0,0,0,48,36,0,0,0,0,3,81,48,84,0,0,0,34,12,22,2.47,2.92,53,34,19,5,29,2,2.55,3467.9192,"0","2","7",0,1,1,-84.5102146499637,39.1260617375628
"135",683513,0.01,"390610033002018","390610033002","39061003300","39061","1640",34,16,18,2,1,0,2,13,6,4,3,1,1,1,0,0,24.7,30,14,16,28,1,1,0,1,34,31,3,0,0,0,0,0,31,3,0,0,0,0,0,34,31,34,0,0,0,21,3,18,1.62,2.67,27,21,6,3,18,1,1.72,5464.4265,"0","0","4",0,0,1,-84.5097822564321,39.1271976745252
"136",683531,0.01,"390610033002016","390610033002","39061003300","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","5","23",0,1,1,-84.5096646902411,39.1282494696817
"137",683553,0,"390610033002015","390610033002","39061003300","39061","1640",67,35,32,3,0,4,14,27,7,5,4,0,0,2,1,0,21.5,58,32,26,38,3,3,0,3,62,45,11,0,4,0,2,5,47,14,4,4,0,3,1,66,44,67,0,0,0,27,5,22,2.48,3.2,35,27,8,5,22,1.4,2.73,16899.405,"1","1","5",1,1,1,-84.5107719041507,39.1295990486214
"138",683571,0.01,"390610030002003","390610030002","39061003000","39061","1640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,0,0,-84.5117099477496,39.1321771073525
