fid,primaryindex,TOP2,TOP3,TOP4,NXTOP2,NXTOP3,NXTOP4,N2XTOP2,N2XTOP3,N2XTOP4,LONGITUDE,LATITUDE,OBS,YIELD,N,N2,TOPO,BV,BV2,NXBV,BVXT2,BVXT3,BVXT4,BV2XT2,BV2XT3,BV2XT4,SAT,SAT2,NXSAT,SATXT2,SATXT3,SATXT4,SAT2XT2,SAT2XT3,SAT2XT4
"401","401","0","0","1","0","0","53","0","0","2809",-63.84710574,-33.05118669,"401",59.23,53,2809,"4",172.44,29735.5536,9139.32,0,0,172.44,0,0,29735.554,2.15,4.62,113.95,0,0,2.15,0,0,4.62
"402","402","0","0","1","0","0","53","0","0","2809",-63.84703489,-33.05119879,"402",56.55,53,2809,"4",170.98,29234.1604,9061.94,0,0,170.98,0,0,29234.16,2.15,4.62,113.95,0,0,2.15,0,0,4.62
"403","403","0","0","1","0","0","53","0","0","2809",-63.84696403,-33.05121089,"403",57.16,53,2809,"4",178.07,31708.9249,9437.71,0,0,178.07,0,0,31708.925,2.15,4.62,113.95,0,0,2.15,0,0,4.62
"404","404","0","0","1","0","0","53","0","0","2809",-63.84689318,-33.05122299,"404",59.68,53,2809,"4",176.75,31240.5625,9367.75,0,0,176.75,0,0,31240.563,2.15,4.62,113.95,0,0,2.15,0,0,4.62
"405","405","0","0","1","0","0","53","0","0","2809",-63.84682233,-33.05123508,"405",58.46,53,2809,"4",177.45,31488.5025,9404.85,0,0,177.45,0,0,31488.502,2.18,4.75,115.54,0,0,2.18,0,0,4.75
"406","406","0","0","1","0","0","53","0","0","2809",-63.84675148,-33.05124718,"406",63.2,53,2809,"4",174.91,30593.5081,9270.23,0,0,174.91,0,0,30593.508,2.18,4.75,115.54,0,0,2.18,0,0,4.75
"407","407","0","0","1","0","0","53","0","0","2809",-63.84668063,-33.05125928,"407",59.58,53,2809,"4",179.35,32166.4225,9505.55,0,0,179.35,0,0,32166.423,2.18,4.75,115.54,0,0,2.18,0,0,4.75
"408","408","0","0","1","0","0","53","0","0","2809",-63.84660977,-33.05127138,"408",57.36,53,2809,"4",174.37,30404.8969,9241.61,0,0,174.37,0,0,30404.897,2.18,4.75,115.54,0,0,2.18,0,0,4.75
"409","409","0","1","0","0","53","0","0","2809","0",-63.84653892,-33.05128348,"409",56.15,53,2809,"3",169.7,28798.09,8994.1,0,169.7,0,0,28798.09,0,2.18,4.75,115.54,0,2.18,0,0,4.75,0
"410","410","0","1","0","0","53","0","0","2809","0",-63.84646807,-33.05129558,"410",59.02,53,2809,"3",165.36,27343.9296,8764.08,0,165.36,0,0,27343.93,0,2.18,4.75,115.54,0,2.18,0,0,4.75,0
"411","411","0","1","0","0","53","0","0","2809","0",-63.84639722,-33.05130767,"411",57.02,53,2809,"3",165,27225,8745,0,165,0,0,27225,0,2.18,4.75,115.54,0,2.18,0,0,4.75,0
"412","412","0","1","0","0","53","0","0","2809","0",-63.84632636,-33.05131977,"412",53.22,53,2809,"3",170.81,29176.0561,9052.93,0,170.81,0,0,29176.056,0,2.18,4.75,115.54,0,2.18,0,0,4.75,0
"413","413","0","1","0","0","53","0","0","2809","0",-63.84625551,-33.05133187,"413",53.36,53,2809,"3",181.98,33116.7204,9644.94,0,181.98,0,0,33116.72,0,2.18,4.75,115.54,0,2.18,0,0,4.75,0
"414","414","0","1","0","0","53","0","0","2809","0",-63.84618466,-33.05134397,"414",52.87,53,2809,"3",189.88,36054.4144,10063.64,0,189.88,0,0,36054.414,0,2.13,4.54,112.89,0,2.13,0,0,4.54,0
"415","415","0","1","0","0","53","0","0","2809","0",-63.84611381,-33.05135607,"415",49.43,53,2809,"3",188.79,35641.6641,10005.87,0,188.79,0,0,35641.664,0,2.13,4.54,112.89,0,2.13,0,0,4.54,0
"416","416","0","1","0","0","53","0","0","2809","0",-63.84604296,-33.05136816,"416",47.36,53,2809,"3",186.29,34703.9641,9873.37,0,186.29,0,0,34703.964,0,2.13,4.54,112.89,0,2.13,0,0,4.54,0
"417","417","0","1","0","0","53","0","0","2809","0",-63.8459721,-33.05138026,"417",52.67,53,2809,"3",182.47,33295.3009,9670.91,0,182.47,0,0,33295.301,0,2.13,4.54,112.89,0,2.13,0,0,4.54,0
"418","418","0","1","0","0","53","0","0","2809","0",-63.84590125,-33.05139236,"418",52.24,53,2809,"3",184.92,34195.4064,9800.76,0,184.92,0,0,34195.406,0,2.13,4.54,112.89,0,2.13,0,0,4.54,0
"419","419","0","1","0","0","53","0","0","2809","0",-63.8458304,-33.05140446,"419",47.27,53,2809,"3",178.88,31998.0544,9480.64,0,178.88,0,0,31998.054,0,2.13,4.54,112.89,0,2.13,0,0,4.54,0
"420","420","0","1","0","0","53","0","0","2809","0",-63.84575955,-33.05141655,"420",49.21,53,2809,"3",192.42,37025.4564,10198.26,0,192.42,0,0,37025.456,0,2.13,4.54,112.89,0,2.13,0,0,4.54,0
"421","421","0","1","0","0","53","0","0","2809","0",-63.84568869,-33.05142865,"421",48.71,53,2809,"3",194.17,37701.9889,10291.01,0,194.17,0,0,37701.989,0,2.13,4.54,112.89,0,2.13,0,0,4.54,0
"422","422","0","1","0","0","53","0","0","2809","0",-63.84561784,-33.05144075,"422",48.1,53,2809,"3",186.47,34771.0609,9882.91,0,186.47,0,0,34771.061,0,2.14,4.58,113.42,0,2.14,0,0,4.58,0
"423","423","0","1","0","0","53","0","0","2809","0",-63.84554699,-33.05145285,"423",53.67,53,2809,"3",187.61,35197.5121,9943.33,0,187.61,0,0,35197.512,0,2.15,4.62,113.95,0,2.15,0,0,4.62,0
"424","424","0","1","0","0","53","0","0","2809","0",-63.84547614,-33.05146494,"424",48.97,53,2809,"3",192.05,36883.2025,10178.65,0,192.05,0,0,36883.202,0,2.15,4.62,113.95,0,2.15,0,0,4.62,0
"425","425","0","1","0","0","53","0","0","2809","0",-63.84540528,-33.05147704,"425",47.2,53,2809,"3",193.73,37531.3129,10267.69,0,193.73,0,0,37531.313,0,2.15,4.62,113.95,0,2.15,0,0,4.62,0
"426","426","0","1","0","0","53","0","0","2809","0",-63.84533443,-33.05148914,"426",51.25,53,2809,"3",190.64,36343.6096,10103.92,0,190.64,0,0,36343.61,0,2.15,4.62,113.95,0,2.15,0,0,4.62,0
"427","427","1","0","0","53","0","0","2809","0","0",-63.84526358,-33.05150124,"427",53.34,53,2809,"2",190.07,36126.6049,10073.71,190.07,0,0,36126.605,0,0,2.17,4.71,115.01,2.17,0,0,4.71,0,0
"428","428","1","0","0","53","0","0","2809","0","0",-63.84519273,-33.05151333,"428",55.73,53,2809,"2",188.1,35381.61,9969.3,188.1,0,0,35381.61,0,0,2.17,4.71,115.01,2.17,0,0,4.71,0,0
"429","429","1","0","0","53","0","0","2809","0","0",-63.84512187,-33.05152543,"429",51.48,53,2809,"2",186.17,34659.2689,9867.01,186.17,0,0,34659.269,0,0,2.17,4.71,115.01,2.17,0,0,4.71,0,0
"430","430","1","0","0","53","0","0","2809","0","0",-63.84505102,-33.05153753,"430",55.95,53,2809,"2",184.29,33962.8041,9767.37,184.29,0,0,33962.804,0,0,2.17,4.71,115.01,2.17,0,0,4.71,0,0
"431","431","1","0","0","53","0","0","2809","0","0",-63.84498017,-33.05154963,"431",60.52,53,2809,"2",181.49,32938.6201,9618.97,181.49,0,0,32938.62,0,0,2.17,4.71,115.01,2.17,0,0,4.71,0,0
"432","432","1","0","0","53","0","0","2809","0","0",-63.84490932,-33.05156172,"432",61.91,53,2809,"2",176.28,31074.6384,9342.84,176.28,0,0,31074.638,0,0,2.17,4.71,115.01,2.17,0,0,4.71,0,0
"433","433","1","0","0","53","0","0","2809","0","0",-63.84483846,-33.05157382,"433",61.99,53,2809,"2",173.51,30105.7201,9196.03,173.51,0,0,30105.72,0,0,2.17,4.71,115.01,2.17,0,0,4.71,0,0
"434","434","1","0","0","53","0","0","2809","0","0",-63.84476761,-33.05158592,"434",63.85,53,2809,"2",172.86,29880.5796,9161.58,172.86,0,0,29880.58,0,0,2.17,4.71,115.01,2.17,0,0,4.71,0,0
"435","435","1","0","0","53","0","0","2809","0","0",-63.84469676,-33.05159802,"435",63.68,53,2809,"2",168.49,28388.8801,8929.97,168.49,0,0,28388.88,0,0,2.2,4.84,116.6,2.2,0,0,4.84,0,0
"436","436","1","0","0","53","0","0","2809","0","0",-63.84462591,-33.05161011,"436",64.14,53,2809,"2",170.53,29080.4809,9038.09,170.53,0,0,29080.481,0,0,2.23,4.97,118.19,2.23,0,0,4.97,0,0
"437","437","1","0","0","53","0","0","2809","0","0",-63.84455505,-33.05162221,"437",68.06,53,2809,"2",171.71,29484.3241,9100.63,171.71,0,0,29484.324,0,0,2.23,4.97,118.19,2.23,0,0,4.97,0,0
"438","438","1","0","0","53","0","0","2809","0","0",-63.8444842,-33.05163431,"438",68.32,53,2809,"2",171.28,29336.8384,9077.84,171.28,0,0,29336.838,0,0,2.23,4.97,118.19,2.23,0,0,4.97,0,0
"439","439","1","0","0","53","0","0","2809","0","0",-63.84441335,-33.0516464,"439",61.89,53,2809,"2",172.53,29766.6009,9144.09,172.53,0,0,29766.601,0,0,2.23,4.97,118.19,2.23,0,0,4.97,0,0
"440","440","1","0","0","53","0","0","2809","0","0",-63.84434249,-33.0516585,"440",63.76,53,2809,"2",170.51,29073.6601,9037.03,170.51,0,0,29073.66,0,0,2.17,4.71,115.01,2.17,0,0,4.71,0,0
"441","441","1","0","0","53","0","0","2809","0","0",-63.84427164,-33.0516706,"441",66.55,53,2809,"2",172.1,29618.41,9121.3,172.1,0,0,29618.41,0,0,2.17,4.71,115.01,2.17,0,0,4.71,0,0
"442","442","1","0","0","53","0","0","2809","0","0",-63.84420079,-33.05168269,"442",68.48,53,2809,"2",165.16,27277.8256,8753.48,165.16,0,0,27277.826,0,0,2.17,4.71,115.01,2.17,0,0,4.71,0,0
"443","443","1","0","0","53","0","0","2809","0","0",-63.84412994,-33.05169479,"443",65.68,53,2809,"2",164.84,27172.2256,8736.52,164.84,0,0,27172.226,0,0,2.17,4.71,115.01,2.17,0,0,4.71,0,0
"444","444","1","0","0","53","0","0","2809","0","0",-63.84405908,-33.05170689,"444",66.15,53,2809,"2",164.84,27172.2256,8736.52,164.84,0,0,27172.226,0,0,2.19,4.8,116.07,2.19,0,0,4.8,0,0
"445","445","1","0","0","53","0","0","2809","0","0",-63.84398823,-33.05171898,"445",66.66,53,2809,"2",159.8,25536.04,8469.4,159.8,0,0,25536.04,0,0,2.23,4.97,118.19,2.23,0,0,4.97,0,0
"446","446","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84391738,-33.05173108,"446",65.1,53,2809,"1",164.05,26912.4025,8694.65,-164.05,-164.05,-164.05,-26912.403,-26912.403,-26912.403,2.23,4.97,118.19,-2.23,-2.23,-2.23,-4.97,-4.97,-4.97
"447","447","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84384653,-33.05174318,"447",67.41,53,2809,"1",174.52,30457.2304,9249.56,-174.52,-174.52,-174.52,-30457.23,-30457.23,-30457.23,2.23,4.97,118.19,-2.23,-2.23,-2.23,-4.97,-4.97,-4.97
"448","448","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84377567,-33.05175527,"448",67.2,53,2809,"1",171.48,29405.3904,9088.44,-171.48,-171.48,-171.48,-29405.39,-29405.39,-29405.39,2.23,4.97,118.19,-2.23,-2.23,-2.23,-4.97,-4.97,-4.97
"449","449","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84370482,-33.05176737,"449",67.18,53,2809,"1",168.23,28301.3329,8916.19,-168.23,-168.23,-168.23,-28301.333,-28301.333,-28301.333,2.15,4.62,113.95,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"450","450","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84363397,-33.05177947,"450",69.7,53,2809,"1",171.48,29405.3904,9088.44,-171.48,-171.48,-171.48,-29405.39,-29405.39,-29405.39,2.15,4.62,113.95,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"451","451","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84356311,-33.05179156,"451",69.15,53,2809,"1",170.12,28940.8144,9016.36,-170.12,-170.12,-170.12,-28940.814,-28940.814,-28940.814,2.15,4.62,113.95,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"452","452","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84349226,-33.05180366,"452",69.71,53,2809,"1",169.33,28672.6489,8974.49,-169.33,-169.33,-169.33,-28672.649,-28672.649,-28672.649,2.14,4.58,113.42,-2.14,-2.14,-2.14,-4.58,-4.58,-4.58
"453","453","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84342141,-33.05181576,"453",64.42,53,2809,"1",168.07,28247.5249,8907.71,-168.07,-168.07,-168.07,-28247.525,-28247.525,-28247.525,2.15,4.62,113.95,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"454","454","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84335055,-33.05182785,"454",66.09,53,2809,"1",163.95,26879.6025,8689.35,-163.95,-163.95,-163.95,-26879.603,-26879.603,-26879.603,2.15,4.62,113.95,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"455","455","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.8432797,-33.05183995,"455",63.09,53,2809,"1",169.09,28591.4281,8961.77,-169.09,-169.09,-169.09,-28591.428,-28591.428,-28591.428,2.15,4.62,113.95,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"456","456","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84320885,-33.05185205,"456",66.97,53,2809,"1",160.49,25757.0401,8505.97,-160.49,-160.49,-160.49,-25757.04,-25757.04,-25757.04,2.15,4.62,113.95,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"457","457","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84313799,-33.05186414,"457",68.82,53,2809,"1",163.86,26850.0996,8684.58,-163.86,-163.86,-163.86,-26850.1,-26850.1,-26850.1,2.15,4.62,113.95,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"458","458","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84306714,-33.05187624,"458",65.75,53,2809,"1",155.68,24236.2624,8251.04,-155.68,-155.68,-155.68,-24236.262,-24236.262,-24236.262,2.17,4.71,115.01,-2.17,-2.17,-2.17,-4.71,-4.71,-4.71
"459","459","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84299629,-33.05188833,"459",66.48,53,2809,"1",154.69,23928.9961,8198.57,-154.69,-154.69,-154.69,-23928.996,-23928.996,-23928.996,2.17,4.71,115.01,-2.17,-2.17,-2.17,-4.71,-4.71,-4.71
"460","460","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84292544,-33.05190043,"460",67.16,53,2809,"1",159.35,25392.4225,8445.55,-159.35,-159.35,-159.35,-25392.423,-25392.423,-25392.423,2.17,4.71,115.01,-2.17,-2.17,-2.17,-4.71,-4.71,-4.71
"461","461","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84285458,-33.05191253,"461",68.02,53,2809,"1",162.83,26513.6089,8629.99,-162.83,-162.83,-162.83,-26513.609,-26513.609,-26513.609,2.17,4.71,115.01,-2.17,-2.17,-2.17,-4.71,-4.71,-4.71
"462","462","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84278373,-33.05192462,"462",67.24,53,2809,"1",161.97,26234.2809,8584.41,-161.97,-161.97,-161.97,-26234.281,-26234.281,-26234.281,2.17,4.71,115.01,-2.17,-2.17,-2.17,-4.71,-4.71,-4.71
"463","463","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84271288,-33.05193672,"463",71.5,53,2809,"1",157.84,24913.4656,8365.52,-157.84,-157.84,-157.84,-24913.466,-24913.466,-24913.466,2.17,4.71,115.01,-2.17,-2.17,-2.17,-4.71,-4.71,-4.71
"464","464","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84264202,-33.05194881,"464",75.25,53,2809,"1",164.55,27076.7025,8721.15,-164.55,-164.55,-164.55,-27076.702,-27076.702,-27076.702,2.17,4.71,115.01,-2.17,-2.17,-2.17,-4.71,-4.71,-4.71
"465","465","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84257117,-33.05196091,"465",80.97,53,2809,"1",166.07,27579.2449,8801.71,-166.07,-166.07,-166.07,-27579.245,-27579.245,-27579.245,2.17,4.71,115.01,-2.17,-2.17,-2.17,-4.71,-4.71,-4.71
"466","466","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84250032,-33.05197301,"466",72.45,53,2809,"1",178.23,31765.9329,9446.19,-178.23,-178.23,-178.23,-31765.933,-31765.933,-31765.933,2.16,4.67,114.48,-2.16,-2.16,-2.16,-4.67,-4.67,-4.67
"467","467","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84242946,-33.0519851,"467",68.38,53,2809,"1",175.96,30961.9216,9325.88,-175.96,-175.96,-175.96,-30961.922,-30961.922,-30961.922,2.15,4.62,113.95,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"468","468","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84235861,-33.0519972,"468",74.67,53,2809,"1",182.5,33306.25,9672.5,-182.5,-182.5,-182.5,-33306.25,-33306.25,-33306.25,2.15,4.62,113.95,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"469","469","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84228776,-33.05200929,"469",75.74,53,2809,"1",180.6,32616.36,9571.8,-180.6,-180.6,-180.6,-32616.36,-32616.36,-32616.36,2.15,4.62,113.95,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"470","470","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.8422169,-33.05202139,"470",71.04,53,2809,"1",167.41,28026.1081,8872.73,-167.41,-167.41,-167.41,-28026.108,-28026.108,-28026.108,2.15,4.62,113.95,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"471","471","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84214605,-33.05203348,"471",77.29,53,2809,"1",165.64,27436.6096,8778.92,-165.64,-165.64,-165.64,-27436.61,-27436.61,-27436.61,2.15,4.62,113.95,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"472","472","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.8420752,-33.05204558,"472",74.44,53,2809,"1",165.21,27294.3441,8756.13,-165.21,-165.21,-165.21,-27294.344,-27294.344,-27294.344,2.15,4.62,113.95,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"473","473","-1","-1","-1","-53","-53","-53","-2809","-2809","-2809",-63.84200434,-33.05205768,"473",79.63,53,2809,"1",166.17,27612.4689,8807.01,-166.17,-166.17,-166.17,-27612.469,-27612.469,-27612.469,2.15,4.62,113.95,-2.15,-2.15,-2.15,-4.62,-4.62,-4.62
"474","474","0","0","1","0","0","29","0","0","841",-63.84879181,-33.05083665,"474",70.19,29,841,"4",165.24,27304.2576,4791.96,0,0,165.24,0,0,27304.258,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"475","475","0","0","1","0","0","29","0","0","841",-63.84872096,-33.05084875,"475",70.15,29,841,"4",167.05,27905.7025,4844.45,0,0,167.05,0,0,27905.702,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"476","476","0","0","1","0","0","29","0","0","841",-63.84865011,-33.05086085,"476",75.11,29,841,"4",161.47,26072.5609,4682.63,0,0,161.47,0,0,26072.561,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"477","477","0","0","1","0","0","29","0","0","841",-63.84857926,-33.05087295,"477",71.07,29,841,"4",172.42,29728.6564,5000.18,0,0,172.42,0,0,29728.656,2.21,4.88,64.09,0,0,2.21,0,0,4.88
"478","478","0","0","1","0","0","29","0","0","841",-63.84850841,-33.05088505,"478",68.34,29,841,"4",169.63,28774.3369,4919.27,0,0,169.63,0,0,28774.337,2.22,4.93,64.38,0,0,2.22,0,0,4.93
"479","479","0","0","1","0","0","29","0","0","841",-63.84843755,-33.05089715,"479",66.25,29,841,"4",179.4,32184.36,5202.6,0,0,179.4,0,0,32184.36,2.24,5.02,64.96,0,0,2.24,0,0,5.02
"480","480","0","0","1","0","0","29","0","0","841",-63.8483667,-33.05090924,"480",70.57,29,841,"4",181.83,33062.1489,5273.07,0,0,181.83,0,0,33062.149,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"481","481","0","0","1","0","0","29","0","0","841",-63.84829585,-33.05092134,"481",70.7,29,841,"4",179.62,32263.3444,5208.98,0,0,179.62,0,0,32263.344,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"482","482","0","0","1","0","0","29","0","0","841",-63.848225,-33.05093344,"482",66.99,29,841,"4",176.35,31099.3225,5114.15,0,0,176.35,0,0,31099.322,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"483","483","0","0","1","0","0","29","0","0","841",-63.84815415,-33.05094554,"483",71.82,29,841,"4",177.75,31595.0625,5154.75,0,0,177.75,0,0,31595.063,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"484","484","0","0","1","0","0","29","0","0","841",-63.8480833,-33.05095764,"484",68.86,29,841,"4",180.66,32638.0356,5239.14,0,0,180.66,0,0,32638.036,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"485","485","0","0","1","0","0","29","0","0","841",-63.84801244,-33.05096974,"485",66.56,29,841,"4",180.21,32475.6441,5226.09,0,0,180.21,0,0,32475.644,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"486","486","0","0","1","0","0","29","0","0","841",-63.84794159,-33.05098184,"486",67.52,29,841,"4",174.67,30509.6089,5065.43,0,0,174.67,0,0,30509.609,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"487","487","0","0","1","0","0","29","0","0","841",-63.84787074,-33.05099394,"487",65.24,29,841,"4",174.5,30450.25,5060.5,0,0,174.5,0,0,30450.25,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"488","488","0","0","1","0","0","29","0","0","841",-63.84779989,-33.05100604,"488",69.66,29,841,"4",177.95,31666.2025,5160.55,0,0,177.95,0,0,31666.202,2.15,4.62,62.35,0,0,2.15,0,0,4.62
"489","489","0","0","1","0","0","29","0","0","841",-63.84772904,-33.05101814,"489",66.77,29,841,"4",175,30625,5075,0,0,175,0,0,30625,2.15,4.62,62.35,0,0,2.15,0,0,4.62
"490","490","0","0","1","0","0","29","0","0","841",-63.84765819,-33.05103023,"490",62.52,29,841,"4",176.13,31021.7769,5107.77,0,0,176.13,0,0,31021.777,2.15,4.62,62.35,0,0,2.15,0,0,4.62
"491","491","0","0","1","0","0","29","0","0","841",-63.84758733,-33.05104233,"491",68.66,29,841,"4",176.71,31226.4241,5124.59,0,0,176.71,0,0,31226.424,2.15,4.62,62.35,0,0,2.15,0,0,4.62
"492","492","0","0","1","0","0","29","0","0","841",-63.84751648,-33.05105443,"492",66.47,29,841,"4",174.19,30342.1561,5051.51,0,0,174.19,0,0,30342.156,2.15,4.62,62.35,0,0,2.15,0,0,4.62
"493","493","0","0","1","0","0","29","0","0","841",-63.84744563,-33.05106653,"493",63.21,29,841,"4",174.95,30607.5025,5073.55,0,0,174.95,0,0,30607.502,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"494","494","0","0","1","0","0","29","0","0","841",-63.84737478,-33.05107863,"494",61.47,29,841,"4",175.65,30852.9225,5093.85,0,0,175.65,0,0,30852.923,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"495","495","0","0","1","0","0","29","0","0","841",-63.84730393,-33.05109073,"495",64.82,29,841,"4",175.93,30951.3649,5101.97,0,0,175.93,0,0,30951.365,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"496","496","0","0","1","0","0","29","0","0","841",-63.84723308,-33.05110283,"496",65.25,29,841,"4",174.28,30373.5184,5054.12,0,0,174.28,0,0,30373.518,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"497","497","0","0","1","0","0","29","0","0","841",-63.84716222,-33.05111492,"497",64.16,29,841,"4",173.37,30057.1569,5027.73,0,0,173.37,0,0,30057.157,2.22,4.93,64.38,0,0,2.22,0,0,4.93
"498","498","0","0","1","0","0","29","0","0","841",-63.84709137,-33.05112702,"498",59.66,29,841,"4",172.19,29649.3961,4993.51,0,0,172.19,0,0,29649.396,2.24,5.02,64.96,0,0,2.24,0,0,5.02
"499","499","0","0","1","0","0","29","0","0","841",-63.84702052,-33.05113912,"499",60.06,29,841,"4",173.23,30008.6329,5023.67,0,0,173.23,0,0,30008.633,2.24,5.02,64.96,0,0,2.24,0,0,5.02
"500","500","0","0","1","0","0","29","0","0","841",-63.84694967,-33.05115122,"500",60.1,29,841,"4",174.87,30579.5169,5071.23,0,0,174.87,0,0,30579.517,2.21,4.88,64.09,0,0,2.21,0,0,4.88
"501","501","0","0","1","0","0","29","0","0","841",-63.84687882,-33.05116332,"501",63.66,29,841,"4",180.14,32450.4196,5224.06,0,0,180.14,0,0,32450.42,2.2,4.84,63.8,0,0,2.2,0,0,4.84
"502","502","0","0","1","0","0","29","0","0","841",-63.84680796,-33.05117542,"502",62.26,29,841,"4",183.76,33767.7376,5329.04,0,0,183.76,0,0,33767.738,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"503","503","0","0","1","0","0","29","0","0","841",-63.84673711,-33.05118751,"503",56.96,29,841,"4",182.93,33463.3849,5304.97,0,0,182.93,0,0,33463.385,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"504","504","0","0","1","0","0","29","0","0","841",-63.84666626,-33.05119961,"504",58.49,29,841,"4",183.16,33547.5856,5311.64,0,0,183.16,0,0,33547.586,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"505","505","0","0","1","0","0","29","0","0","841",-63.84659541,-33.05121171,"505",54.74,29,841,"4",174.97,30614.5009,5074.13,0,0,174.97,0,0,30614.501,2.18,4.75,63.22,0,0,2.18,0,0,4.75
"506","506","0","1","0","0","29","0","0","841","0",-63.84652456,-33.05122381,"506",54.94,29,841,"3",170.52,29077.0704,4945.08,0,170.52,0,0,29077.07,0,2.18,4.75,63.22,0,2.18,0,0,4.75,0
"507","507","0","1","0","0","29","0","0","841","0",-63.8464537,-33.05123591,"507",53.17,29,841,"3",167.27,27979.2529,4850.83,0,167.27,0,0,27979.253,0,2.18,4.75,63.22,0,2.18,0,0,4.75,0
"508","508","0","1","0","0","29","0","0","841","0",-63.84638285,-33.05124801,"508",48.86,29,841,"3",170.14,28947.6196,4934.06,0,170.14,0,0,28947.62,0,2.18,4.75,63.22,0,2.18,0,0,4.75,0
"509","509","0","1","0","0","29","0","0","841","0",-63.846312,-33.0512601,"509",51.24,29,841,"3",172.1,29618.41,4990.9,0,172.1,0,0,29618.41,0,2.18,4.75,63.22,0,2.18,0,0,4.75,0
"510","510","0","1","0","0","29","0","0","841","0",-63.84624115,-33.0512722,"510",48.43,29,841,"3",182.53,33317.2009,5293.37,0,182.53,0,0,33317.201,0,2.17,4.71,62.93,0,2.17,0,0,4.71,0
"511","511","0","1","0","0","29","0","0","841","0",-63.84617029,-33.0512843,"511",49.68,29,841,"3",181.73,33025.7929,5270.17,0,181.73,0,0,33025.793,0,2.13,4.54,61.77,0,2.13,0,0,4.54,0
"512","512","0","1","0","0","29","0","0","841","0",-63.84609944,-33.0512964,"512",52.5,29,841,"3",186.73,34868.0929,5415.17,0,186.73,0,0,34868.093,0,2.13,4.54,61.77,0,2.13,0,0,4.54,0
