fid,primaryindex,ID,TOP3,TOP2,TOP4,NXTOP2,NXTOP3,NXTOP4,N2XTOP2,N2XTOP3,N2XTOP4,LONGITUDE,LATITUDE,YIELD,TOPO,OBS,N,N2,BV,BV2,NXBV,BVXT2,BVXT3,BVXT4,BV2XT2,BV2XT3,BV2XT4
"315","315","2768","1","0","0",0,0,0,0,0,0,-63.84630024,-33.05053359,41.69,"3","315",0,0,168.11,28260.972,0,0,168.11,0,0,28260.97,0
"316","316","2769","1","0","0",0,0,0,0,0,0,-63.84622997,-33.05055806,39.03,"3","316",0,0,170.91,29210.228,0,0,170.91,0,0,29210.23,0
"317","317","2770","1","0","0",0,0,0,0,0,0,-63.84615969,-33.05058253,37.45,"3","317",0,0,178.15,31737.423,0,0,178.15,0,0,31737.42,0
"318","318","2771","1","0","0",0,0,0,0,0,0,-63.84608942,-33.05060699,39.56,"3","318",0,0,185.22,34306.448,0,0,185.22,0,0,34306.45,0
"319","319","2772","1","0","0",0,0,0,0,0,0,-63.84601915,-33.05063146,36.59,"3","319",0,0,192.89,37206.552,0,0,192.89,0,0,37206.55,0
"320","320","2773","1","0","0",0,0,0,0,0,0,-63.84594888,-33.05065593,33.67,"3","320",0,0,194.48,37822.47,0,0,194.48,0,0,37822.47,0
"321","321","2774","1","0","0",0,0,0,0,0,0,-63.8458786,-33.05068039,27.12,"3","321",0,0,191.66,36733.556,0,0,191.66,0,0,36733.56,0
"322","322","2775","1","0","0",0,0,0,0,0,0,-63.84580833,-33.05070486,21.18,"3","322",0,0,193.5,37442.25,0,0,193.5,0,0,37442.25,0
"323","323","2776","1","0","0",0,0,0,0,0,0,-63.84573806,-33.05072933,16.86,"3","323",0,0,192.02,36871.68,0,0,192.02,0,0,36871.68,0
"324","324","2777","1","0","0",0,0,0,0,0,0,-63.84566778,-33.05075379,12.66,"3","324",0,0,193.16,37310.786,0,0,193.16,0,0,37310.79,0
"325","325","2778","1","0","0",0,0,0,0,0,0,-63.84559751,-33.05077826,23.01,"3","325",0,0,197.02,38816.88,0,0,197.02,0,0,38816.88,0
"326","326","2779","1","0","0",0,0,0,0,0,0,-63.84552724,-33.05080273,28.43,"3","326",0,0,191.54,36687.572,0,0,191.54,0,0,36687.57,0
"327","327","2780","1","0","0",0,0,0,0,0,0,-63.84545696,-33.05082719,35.72,"3","327",0,0,192.75,37152.563,0,0,192.75,0,0,37152.56,0
"328","328","2781","1","0","0",0,0,0,0,0,0,-63.84538669,-33.05085166,37.24,"3","328",0,0,190.61,36332.172,0,0,190.61,0,0,36332.17,0
"329","329","2782","1","0","0",0,0,0,0,0,0,-63.84531642,-33.05087613,37.85,"3","329",0,0,191.27,36584.213,0,0,191.27,0,0,36584.21,0
"330","330","2783","1","0","0",0,0,0,0,0,0,-63.84524614,-33.05090059,38.89,"3","330",0,0,188.75,35626.563,0,0,188.75,0,0,35626.56,0
"331","331","2784","1","0","0",0,0,0,0,0,0,-63.84517587,-33.05092506,38.97,"3","331",0,0,188.95,35702.102,0,0,188.95,0,0,35702.1,0
"332","332","2785","1","0","0",0,0,0,0,0,0,-63.84510559,-33.05094953,39.83,"3","332",0,0,186.05,34614.603,0,0,186.05,0,0,34614.6,0
"333","333","2786","0","1","0",0,0,0,0,0,0,-63.84503532,-33.05097399,44.73,"2","333",0,0,181.15,32815.323,0,181.15,0,0,32815.32,0,0
"334","334","2787","0","1","0",0,0,0,0,0,0,-63.84496505,-33.05099846,48.71,"2","334",0,0,181.71,33018.524,0,181.71,0,0,33018.52,0,0
"335","335","2788","0","1","0",0,0,0,0,0,0,-63.84489477,-33.05102292,59.18,"2","335",0,0,185.8,34521.64,0,185.8,0,0,34521.64,0,0
"336","336","2789","0","1","0",0,0,0,0,0,0,-63.8448245,-33.05104739,64.07,"2","336",0,0,180.28,32500.878,0,180.28,0,0,32500.88,0,0
"337","337","2790","0","1","0",0,0,0,0,0,0,-63.84475423,-33.05107186,79.58,"2","337",0,0,175.77,30895.093,0,175.77,0,0,30895.09,0,0
"338","338","2791","0","1","0",0,0,0,0,0,0,-63.84468395,-33.05109632,85.58,"2","338",0,0,173.85,30223.822,0,173.85,0,0,30223.82,0,0
"339","339","2792","0","1","0",0,0,0,0,0,0,-63.84461368,-33.05112079,90.47,"2","339",0,0,175.29,30726.584,0,175.29,0,0,30726.58,0,0
"340","340","2793","0","1","0",0,0,0,0,0,0,-63.8445434,-33.05114526,103.97,"2","340",0,0,170.44,29049.794,0,170.44,0,0,29049.79,0,0
"341","341","2794","0","1","0",0,0,0,0,0,0,-63.84447313,-33.05116972,102.38,"2","341",0,0,169.55,28747.203,0,169.55,0,0,28747.2,0,0
"342","342","2795","0","1","0",0,0,0,0,0,0,-63.84440286,-33.05119419,99.18,"2","342",0,0,170.06,28920.404,0,170.06,0,0,28920.4,0,0
"343","343","2796","0","1","0",0,0,0,0,0,0,-63.84433258,-33.05121865,93.01,"2","343",0,0,175.52,30807.27,0,175.52,0,0,30807.27,0,0
"344","344","2797","0","1","0",0,0,0,0,0,0,-63.84426231,-33.05124312,93.84,"2","344",0,0,173.95,30258.602,0,173.95,0,0,30258.6,0,0
"345","345","2798","0","1","0",0,0,0,0,0,0,-63.84419203,-33.05126759,99.03,"2","345",0,0,173.5,30102.25,0,173.5,0,0,30102.25,0,0
"346","346","2799","0","1","0",0,0,0,0,0,0,-63.84412176,-33.05129205,96.03,"2","346",0,0,176.09,31007.688,0,176.09,0,0,31007.69,0,0
"347","347","2800","0","1","0",0,0,0,0,0,0,-63.84405149,-33.05131652,93.61,"2","347",0,0,172.64,29804.57,0,172.64,0,0,29804.57,0,0
"348","348","2801","0","1","0",0,0,0,0,0,0,-63.84398121,-33.05134098,92.02,"2","348",0,0,169.63,28774.337,0,169.63,0,0,28774.34,0,0
"349","349","2802","0","1","0",0,0,0,0,0,0,-63.84391094,-33.05136545,96.03,"2","349",0,0,170.58,29097.536,0,170.58,0,0,29097.54,0,0
"350","350","2803","0","1","0",0,0,0,0,0,0,-63.84384066,-33.05138991,91.34,"2","350",0,0,173.76,30192.538,0,173.76,0,0,30192.54,0,0
"351","351","2804","0","1","0",0,0,0,0,0,0,-63.84377039,-33.05141438,96.13,"2","351",0,0,170.9,29206.81,0,170.9,0,0,29206.81,0,0
"352","352","2805","-1","-1","-1",0,0,0,0,0,0,-63.84370011,-33.05143885,96.22,"1","352",0,0,170.39,29032.752,0,-170.39,-170.39,-170.39,-29032.75,-29032.7,-29032.7
"353","353","2806","-1","-1","-1",0,0,0,0,0,0,-63.84362984,-33.05146331,100.22,"1","353",0,0,163.64,26778.05,0,-163.64,-163.64,-163.64,-26778.05,-26778,-26778
"354","354","2807","-1","-1","-1",0,0,0,0,0,0,-63.84355957,-33.05148778,103.16,"1","354",0,0,164.18,26955.072,0,-164.18,-164.18,-164.18,-26955.07,-26955,-26955
"355","355","2808","-1","-1","-1",0,0,0,0,0,0,-63.84348929,-33.05151224,97.5,"1","355",0,0,165.77,27479.693,0,-165.77,-165.77,-165.77,-27479.69,-27479.6,-27479.6
"356","356","2809","-1","-1","-1",0,0,0,0,0,0,-63.84341902,-33.05153671,93.84,"1","356",0,0,166.43,27698.945,0,-166.43,-166.43,-166.43,-27698.95,-27698.9,-27698.9
"357","357","2810","-1","-1","-1",0,0,0,0,0,0,-63.84334874,-33.05156117,95.76,"1","357",0,0,161.61,26117.792,0,-161.61,-161.61,-161.61,-26117.79,-26117.7,-26117.7
"358","358","2811","-1","-1","-1",0,0,0,0,0,0,-63.84327847,-33.05158564,96.06,"1","358",0,0,163.02,26575.52,0,-163.02,-163.02,-163.02,-26575.52,-26575.5,-26575.5
"359","359","2812","-1","-1","-1",0,0,0,0,0,0,-63.84320819,-33.0516101,95.4,"1","359",0,0,169.7,28798.09,0,-169.7,-169.7,-169.7,-28798.09,-28798,-28798
"360","360","2813","-1","-1","-1",0,0,0,0,0,0,-63.84313792,-33.05163457,97.86,"1","360",0,0,162.22,26315.328,0,-162.22,-162.22,-162.22,-26315.33,-26315.3,-26315.3
"361","361","2814","-1","-1","-1",0,0,0,0,0,0,-63.84306764,-33.05165904,94.17,"1","361",0,0,159.92,25574.406,0,-159.92,-159.92,-159.92,-25574.41,-25574.4,-25574.4
"362","362","2815","-1","-1","-1",0,0,0,0,0,0,-63.84299737,-33.0516835,96.36,"1","362",0,0,161.74,26159.828,0,-161.74,-161.74,-161.74,-26159.83,-26159.8,-26159.8
"363","363","2816","-1","-1","-1",0,0,0,0,0,0,-63.84292709,-33.05170797,93.18,"1","363",0,0,166.13,27599.177,0,-166.13,-166.13,-166.13,-27599.18,-27599.1,-27599.1
"364","364","2817","-1","-1","-1",0,0,0,0,0,0,-63.84285682,-33.05173243,98.36,"1","364",0,0,167.44,28036.154,0,-167.44,-167.44,-167.44,-28036.15,-28036.1,-28036.1
"365","365","2818","-1","-1","-1",0,0,0,0,0,0,-63.84278654,-33.0517569,95.07,"1","365",0,0,169.37,28686.197,0,-169.37,-169.37,-169.37,-28686.2,-28686.2,-28686.2
"366","366","2819","-1","-1","-1",0,0,0,0,0,0,-63.84271627,-33.05178136,101.38,"1","366",0,0,167.15,27939.123,0,-167.15,-167.15,-167.15,-27939.12,-27939.1,-27939.1
"367","367","2820","-1","-1","-1",0,0,0,0,0,0,-63.84264599,-33.05180583,103.02,"1","367",0,0,161.16,25972.546,0,-161.16,-161.16,-161.16,-25972.55,-25972.5,-25972.5
"368","368","2821","-1","-1","-1",0,0,0,0,0,0,-63.84257572,-33.05183029,95.42,"1","368",0,0,168.34,28338.356,0,-168.34,-168.34,-168.34,-28338.36,-28338.3,-28338.3
"369","369","2822","-1","-1","-1",0,0,0,0,0,0,-63.84250544,-33.05185476,95.81,"1","369",0,0,172.99,29925.54,0,-172.99,-172.99,-172.99,-29925.54,-29925.5,-29925.5
"370","370","2823","-1","-1","-1",0,0,0,0,0,0,-63.84243517,-33.05187922,91.94,"1","370",0,0,179.82,32335.232,0,-179.82,-179.82,-179.82,-32335.23,-32335.2,-32335.2
"371","371","2824","-1","-1","-1",0,0,0,0,0,0,-63.84236489,-33.05190369,97.67,"1","371",0,0,179.32,32155.662,0,-179.32,-179.32,-179.32,-32155.66,-32155.6,-32155.6
"372","372","2825","-1","-1","-1",0,0,0,0,0,0,-63.84229462,-33.05192815,98.29,"1","372",0,0,174.25,30363.063,0,-174.25,-174.25,-174.25,-30363.06,-30363,-30363
"373","373","2826","-1","-1","-1",0,0,0,0,0,0,-63.84222434,-33.05195262,97.92,"1","373",0,0,160.78,25850.208,0,-160.78,-160.78,-160.78,-25850.21,-25850.2,-25850.2
"374","374","2827","-1","-1","-1",0,0,0,0,0,0,-63.84215407,-33.05197708,102.68,"1","374",0,0,168.82,28500.192,0,-168.82,-168.82,-168.82,-28500.19,-28500.1,-28500.1
"375","375","2828","-1","-1","-1",0,0,0,0,0,0,-63.84208379,-33.05200155,95.21,"1","375",0,0,170,28900,0,-170,-170,-170,-28900,-28900,-28900
"376","376","2829","-1","-1","-1",0,0,0,0,0,0,-63.84201352,-33.05202601,94.08,"1","376",0,0,165.95,27539.402,0,-165.95,-165.95,-165.95,-27539.4,-27539.4,-27539.4
"377","377","2841","0","0","1",0,0,50.6,0,0,2560.36,-63.8485199,-33.04969144,89.94,"4","377",50.6,2560.36,178.19,31751.676,9016.414,0,0,178.19,0,0,31751.68
"378","378","2842","0","0","1",0,0,50.6,0,0,2560.36,-63.84844963,-33.04971591,88.9,"4","378",50.6,2560.36,177.86,31634.18,8999.716,0,0,177.86,0,0,31634.18
"379","379","2843","0","0","1",0,0,50.6,0,0,2560.36,-63.84837936,-33.04974038,86.18,"4","379",50.6,2560.36,178.57,31887.245,9035.642,0,0,178.57,0,0,31887.24
"380","380","2844","0","0","1",0,0,50.6,0,0,2560.36,-63.84830909,-33.04976485,94.35,"4","380",50.6,2560.36,177.02,31336.08,8957.212,0,0,177.02,0,0,31336.08
"381","381","2845","0","0","1",0,0,50.6,0,0,2560.36,-63.84823881,-33.04978932,89.24,"4","381",50.6,2560.36,177.79,31609.284,8996.174,0,0,177.79,0,0,31609.28
"382","382","2846","0","0","1",0,0,50.6,0,0,2560.36,-63.84816854,-33.04981379,82.68,"4","382",50.6,2560.36,171.87,29539.297,8696.622,0,0,171.87,0,0,29539.3
"383","383","2847","0","0","1",0,0,50.6,0,0,2560.36,-63.84809827,-33.04983825,85.11,"4","383",50.6,2560.36,173.53,30112.661,8780.618,0,0,173.53,0,0,30112.66
"384","384","2848","0","0","1",0,0,50.6,0,0,2560.36,-63.848028,-33.04986272,88.28,"4","384",50.6,2560.36,175.17,30684.529,8863.602,0,0,175.17,0,0,30684.53
"385","385","2849","0","0","1",0,0,50.6,0,0,2560.36,-63.84795773,-33.04988719,78.65,"4","385",50.6,2560.36,175,30625,8855,0,0,175,0,0,30625
"386","386","2850","0","0","1",0,0,50.6,0,0,2560.36,-63.84788745,-33.04991166,71.89,"4","386",50.6,2560.36,174.1,30310.81,8809.46,0,0,174.1,0,0,30310.81
"387","387","2851","0","0","1",0,0,50.6,0,0,2560.36,-63.84781718,-33.04993613,67.38,"4","387",50.6,2560.36,181.66,33000.356,9191.996,0,0,181.66,0,0,33000.36
"388","388","2852","0","0","1",0,0,50.6,0,0,2560.36,-63.84774691,-33.04996059,63.49,"4","388",50.6,2560.36,180.59,32612.748,9137.854,0,0,180.59,0,0,32612.75
"389","389","2853","0","0","1",0,0,50.6,0,0,2560.36,-63.84767664,-33.04998506,60.31,"4","389",50.6,2560.36,176.3,31081.69,8920.78,0,0,176.3,0,0,31081.69
"390","390","2854","0","0","1",0,0,50.6,0,0,2560.36,-63.84760637,-33.05000953,63.89,"4","390",50.6,2560.36,180.6,32616.36,9138.36,0,0,180.6,0,0,32616.36
"391","391","2855","0","0","1",0,0,50.6,0,0,2560.36,-63.84753609,-33.050034,59.14,"4","391",50.6,2560.36,178.08,31712.486,9010.848,0,0,178.08,0,0,31712.49
"392","392","2856","0","0","1",0,0,50.6,0,0,2560.36,-63.84746582,-33.05005846,57.27,"4","392",50.6,2560.36,179.67,32281.309,9091.302,0,0,179.67,0,0,32281.31
"393","393","2857","0","0","1",0,0,50.6,0,0,2560.36,-63.84739555,-33.05008293,55.12,"4","393",50.6,2560.36,181.6,32978.56,9188.96,0,0,181.6,0,0,32978.56
"394","394","2858","0","0","1",0,0,50.6,0,0,2560.36,-63.84732528,-33.0501074,49.83,"4","394",50.6,2560.36,177.69,31573.736,8991.114,0,0,177.69,0,0,31573.74
"395","395","2859","0","0","1",0,0,50.6,0,0,2560.36,-63.847255,-33.05013187,53.19,"4","395",50.6,2560.36,176.43,31127.545,8927.358,0,0,176.43,0,0,31127.54
"396","396","2860","0","0","1",0,0,50.6,0,0,2560.36,-63.84718473,-33.05015634,52.67,"4","396",50.6,2560.36,176.58,31180.496,8934.948,0,0,176.58,0,0,31180.5
"397","397","2861","0","0","1",0,0,50.6,0,0,2560.36,-63.84711446,-33.0501808,58.34,"4","397",50.6,2560.36,175.78,30898.608,8894.468,0,0,175.78,0,0,30898.61
"398","398","2862","0","0","1",0,0,50.6,0,0,2560.36,-63.84704419,-33.05020527,54.2,"4","398",50.6,2560.36,179.17,32101.889,9066.002,0,0,179.17,0,0,32101.89
"399","399","2863","0","0","1",0,0,50.6,0,0,2560.36,-63.84697391,-33.05022974,50.97,"4","399",50.6,2560.36,179.63,32266.937,9089.278,0,0,179.63,0,0,32266.94
"400","400","2864","0","0","1",0,0,50.6,0,0,2560.36,-63.84690364,-33.05025421,58.05,"4","400",50.6,2560.36,181.03,32771.861,9160.118,0,0,181.03,0,0,32771.86
"401","401","2865","0","0","1",0,0,50.6,0,0,2560.36,-63.84683337,-33.05027867,57.84,"4","401",50.6,2560.36,179.03,32051.741,9058.918,0,0,179.03,0,0,32051.74
"402","402","2866","0","0","1",0,0,50.6,0,0,2560.36,-63.8467631,-33.05030314,56.78,"4","402",50.6,2560.36,179.24,32126.978,9069.544,0,0,179.24,0,0,32126.98
"403","403","2867","0","0","1",0,0,50.6,0,0,2560.36,-63.84669282,-33.05032761,59.56,"4","403",50.6,2560.36,186,34596,9411.6,0,0,186,0,0,34596
"404","404","2868","0","0","1",0,0,50.6,0,0,2560.36,-63.84662255,-33.05035207,49.91,"4","404",50.6,2560.36,181.89,33083.972,9203.634,0,0,181.89,0,0,33083.97
"405","405","2869","1","0","0",0,50.6,0,0,2560.36,0,-63.84655228,-33.05037654,49.32,"3","405",50.6,2560.36,172.44,29735.554,8725.464,0,172.44,0,0,29735.55,0
"406","406","2870","1","0","0",0,50.6,0,0,2560.36,0,-63.84648201,-33.05040101,47.9,"3","406",50.6,2560.36,168.42,28365.296,8522.052,0,168.42,0,0,28365.3,0
"407","407","2871","1","0","0",0,50.6,0,0,2560.36,0,-63.84641173,-33.05042548,49.45,"3","407",50.6,2560.36,166.76,27808.898,8438.056,0,166.76,0,0,27808.9,0
"408","408","2872","1","0","0",0,50.6,0,0,2560.36,0,-63.84634146,-33.05044994,50.22,"3","408",50.6,2560.36,167.38,28016.064,8469.428,0,167.38,0,0,28016.06,0
"409","409","2873","1","0","0",0,50.6,0,0,2560.36,0,-63.84627119,-33.05047441,47.9,"3","409",50.6,2560.36,167.44,28036.154,8472.464,0,167.44,0,0,28036.15,0
"410","410","2874","1","0","0",0,50.6,0,0,2560.36,0,-63.84620091,-33.05049888,49.27,"3","410",50.6,2560.36,170.19,28964.636,8611.614,0,170.19,0,0,28964.64,0
"411","411","2875","1","0","0",0,50.6,0,0,2560.36,0,-63.84613064,-33.05052334,46.06,"3","411",50.6,2560.36,178.54,31876.532,9034.124,0,178.54,0,0,31876.53,0
"412","412","2876","1","0","0",0,50.6,0,0,2560.36,0,-63.84606037,-33.05054781,46.14,"3","412",50.6,2560.36,186.5,34782.25,9436.9,0,186.5,0,0,34782.25,0
"413","413","2877","1","0","0",0,50.6,0,0,2560.36,0,-63.8459901,-33.05057228,46.32,"3","413",50.6,2560.36,189.45,35891.302,9586.17,0,189.45,0,0,35891.3,0
"414","414","2878","1","0","0",0,50.6,0,0,2560.36,0,-63.84591982,-33.05059675,41.7,"3","414",50.6,2560.36,193.39,37399.692,9785.534,0,193.39,0,0,37399.69,0
"415","415","2879","1","0","0",0,50.6,0,0,2560.36,0,-63.84584955,-33.05062121,39.17,"3","415",50.6,2560.36,191.35,36614.822,9682.31,0,191.35,0,0,36614.82,0
"416","416","2880","1","0","0",0,50.6,0,0,2560.36,0,-63.84577928,-33.05064568,35.85,"3","416",50.6,2560.36,194.85,37966.522,9859.41,0,194.85,0,0,37966.52,0
"417","417","2881","1","0","0",0,50.6,0,0,2560.36,0,-63.845709,-33.05067015,35.23,"3","417",50.6,2560.36,198.65,39461.823,10051.69,0,198.65,0,0,39461.82,0
"418","418","2882","1","0","0",0,50.6,0,0,2560.36,0,-63.84563873,-33.05069461,35.13,"3","418",50.6,2560.36,198.56,39426.074,10047.136,0,198.56,0,0,39426.07,0
"419","419","2883","1","0","0",0,50.6,0,0,2560.36,0,-63.84556846,-33.05071908,31.84,"3","419",50.6,2560.36,196.3,38533.69,9932.78,0,196.3,0,0,38533.69,0
"420","420","2884","1","0","0",0,50.6,0,0,2560.36,0,-63.84549818,-33.05074355,35.4,"3","420",50.6,2560.36,193.55,37461.603,9793.63,0,193.55,0,0,37461.6,0
"421","421","2885","1","0","0",0,50.6,0,0,2560.36,0,-63.84542791,-33.05076801,36.36,"3","421",50.6,2560.36,194.06,37659.284,9819.436,0,194.06,0,0,37659.28,0
"422","422","2886","1","0","0",0,50.6,0,0,2560.36,0,-63.84535764,-33.05079248,41.1,"3","422",50.6,2560.36,188.51,35536.02,9538.606,0,188.51,0,0,35536.02,0
"423","423","2887","1","0","0",0,50.6,0,0,2560.36,0,-63.84528736,-33.05081695,41.62,"3","423",50.6,2560.36,187.88,35298.894,9506.728,0,187.88,0,0,35298.89,0
"424","424","2888","1","0","0",0,50.6,0,0,2560.36,0,-63.84521709,-33.05084141,43.16,"3","424",50.6,2560.36,187.48,35148.75,9486.488,0,187.48,0,0,35148.75,0
"425","425","2889","1","0","0",0,50.6,0,0,2560.36,0,-63.84514682,-33.05086588,42.3,"3","425",50.6,2560.36,185.12,34269.414,9367.072,0,185.12,0,0,34269.41,0
"426","426","2890","1","0","0",0,50.6,0,0,2560.36,0,-63.84507654,-33.05089034,47.03,"3","426",50.6,2560.36,181.16,32818.946,9166.696,0,181.16,0,0,32818.95,0
"427","427","2891","0","1","0",50.6,0,0,2560.36,0,0,-63.84500627,-33.05091481,47.94,"2","427",50.6,2560.36,182.28,33225.998,9223.368,182.28,0,0,33226,0,0
"428","428","2892","0","1","0",50.6,0,0,2560.36,0,0,-63.844936,-33.05093928,49.69,"2","428",50.6,2560.36,180.02,32407.2,9109.012,180.02,0,0,32407.2,0,0
"429","429","2893","0","1","0",50.6,0,0,2560.36,0,0,-63.84486572,-33.05096374,51.14,"2","429",50.6,2560.36,178.15,31737.423,9014.39,178.15,0,0,31737.42,0,0
"430","430","2894","0","1","0",50.6,0,0,2560.36,0,0,-63.84479545,-33.05098821,67.06,"2","430",50.6,2560.36,179.11,32080.392,9062.966,179.11,0,0,32080.39,0,0
"431","431","2895","0","1","0",50.6,0,0,2560.36,0,0,-63.84472517,-33.05101268,79.8,"2","431",50.6,2560.36,173.08,29956.686,8757.848,173.08,0,0,29956.69,0,0
"432","432","2896","0","1","0",50.6,0,0,2560.36,0,0,-63.8446549,-33.05103714,96.7,"2","432",50.6,2560.36,173.64,30150.85,8786.184,173.64,0,0,30150.85,0,0
"433","433","2897","0","1","0",50.6,0,0,2560.36,0,0,-63.84458463,-33.05106161,100.99,"2","433",50.6,2560.36,174.85,30572.522,8847.41,174.85,0,0,30572.52,0,0
"434","434","2898","0","1","0",50.6,0,0,2560.36,0,0,-63.84451435,-33.05108607,94.15,"2","434",50.6,2560.36,173.54,30116.132,8781.124,173.54,0,0,30116.13,0,0
"435","435","2899","0","1","0",50.6,0,0,2560.36,0,0,-63.84444408,-33.05111054,101.67,"2","435",50.6,2560.36,174,30276,8804.4,174,0,0,30276,0,0
"436","436","2900","0","1","0",50.6,0,0,2560.36,0,0,-63.84437381,-33.05113501,98.14,"2","436",50.6,2560.36,179.88,32356.814,9101.928,179.88,0,0,32356.81,0,0
"437","437","2901","0","1","0",50.6,0,0,2560.36,0,0,-63.84430353,-33.05115947,102.92,"2","437",50.6,2560.36,175.55,30817.803,8882.83,175.55,0,0,30817.8,0,0
"438","438","2902","0","1","0",50.6,0,0,2560.36,0,0,-63.84423326,-33.05118394,101.94,"2","438",50.6,2560.36,174.38,30408.384,8823.628,174.38,0,0,30408.38,0,0
"439","439","2903","0","1","0",50.6,0,0,2560.36,0,0,-63.84416298,-33.0512084,102.8,"2","439",50.6,2560.36,173.26,30019.028,8766.956,173.26,0,0,30019.03,0,0
"440","440","2904","0","1","0",50.6,0,0,2560.36,0,0,-63.84409271,-33.05123287,100.17,"2","440",50.6,2560.36,172.06,29604.644,8706.236,172.06,0,0,29604.64,0,0
"441","441","2905","0","1","0",50.6,0,0,2560.36,0,0,-63.84402243,-33.05125734,102.72,"2","441",50.6,2560.36,170.9,29206.81,8647.54,170.9,0,0,29206.81,0,0
"442","442","2906","0","1","0",50.6,0,0,2560.36,0,0,-63.84395216,-33.0512818,95.02,"2","442",50.6,2560.36,169.9,28866.01,8596.94,169.9,0,0,28866.01,0,0
"443","443","2907","0","1","0",50.6,0,0,2560.36,0,0,-63.84388189,-33.05130627,96,"2","443",50.6,2560.36,167.46,28042.852,8473.476,167.46,0,0,28042.85,0,0
"444","444","2908","0","1","0",50.6,0,0,2560.36,0,0,-63.84381161,-33.05133073,102.89,"2","444",50.6,2560.36,175.02,30632,8856.012,175.02,0,0,30632,0,0
"445","445","2909","0","1","0",50.6,0,0,2560.36,0,0,-63.84374134,-33.0513552,109.66,"2","445",50.6,2560.36,170.94,29220.484,8649.564,170.94,0,0,29220.48,0,0
"446","446","2910","-1","-1","-1",-50.6,-50.6,-50.6,-2560.36,-2560.36,-2560.36,-63.84367106,-33.05137966,106.38,"1","446",50.6,2560.36,168.86,28513.7,8544.316,-168.86,-168.86,-168.86,-28513.7,-28513.7,-28513.7
"447","447","2911","-1","-1","-1",-50.6,-50.6,-50.6,-2560.36,-2560.36,-2560.36,-63.84360079,-33.05140413,102.99,"1","447",50.6,2560.36,165.88,27516.174,8393.528,-165.88,-165.88,-165.88,-27516.17,-27516.1,-27516.1
"448","448","2912","-1","-1","-1",-50.6,-50.6,-50.6,-2560.36,-2560.36,-2560.36,-63.84353051,-33.0514286,104.72,"1","448",50.6,2560.36,167.75,28140.063,8488.15,-167.75,-167.75,-167.75,-28140.06,-28140,-28140
"449","449","2913","-1","-1","-1",-50.6,-50.6,-50.6,-2560.36,-2560.36,-2560.36,-63.84346024,-33.05145306,93.06,"1","449",50.6,2560.36,169.12,28601.574,8557.472,-169.12,-169.12,-169.12,-28601.57,-28601.5,-28601.5
"450","450","2914","-1","-1","-1",-50.6,-50.6,-50.6,-2560.36,-2560.36,-2560.36,-63.84338997,-33.05147753,108.01,"1","450",50.6,2560.36,162.02,26250.48,8198.212,-162.02,-162.02,-162.02,-26250.48,-26250.4,-26250.4
"451","451","2915","-1","-1","-1",-50.6,-50.6,-50.6,-2560.36,-2560.36,-2560.36,-63.84331969,-33.05150199,102.59,"1","451",50.6,2560.36,162.71,26474.544,8233.126,-162.71,-162.71,-162.71,-26474.54,-26474.5,-26474.5
"452","452","2916","-1","-1","-1",-50.6,-50.6,-50.6,-2560.36,-2560.36,-2560.36,-63.84324942,-33.05152646,102.35,"1","452",50.6,2560.36,169.34,28676.036,8568.604,-169.34,-169.34,-169.34,-28676.04,-28676,-28676
"453","453","2917","-1","-1","-1",-50.6,-50.6,-50.6,-2560.36,-2560.36,-2560.36,-63.84317914,-33.05155092,100.84,"1","453",50.6,2560.36,167.68,28116.582,8484.608,-167.68,-167.68,-167.68,-28116.58,-28116.5,-28116.5
"454","454","2918","-1","-1","-1",-50.6,-50.6,-50.6,-2560.36,-2560.36,-2560.36,-63.84310887,-33.05157539,97.58,"1","454",50.6,2560.36,161.41,26053.188,8167.346,-161.41,-161.41,-161.41,-26053.19,-26053.1,-26053.1
"455","455","2919","-1","-1","-1",-50.6,-50.6,-50.6,-2560.36,-2560.36,-2560.36,-63.84303859,-33.05159985,97.63,"1","455",50.6,2560.36,157.31,24746.436,7959.886,-157.31,-157.31,-157.31,-24746.44,-24746.4,-24746.4
"456","456","2920","-1","-1","-1",-50.6,-50.6,-50.6,-2560.36,-2560.36,-2560.36,-63.84296832,-33.05162432,101.61,"1","456",50.6,2560.36,161.94,26224.564,8194.164,-161.94,-161.94,-161.94,-26224.56,-26224.5,-26224.5
"457","457","2921","-1","-1","-1",-50.6,-50.6,-50.6,-2560.36,-2560.36,-2560.36,-63.84289804,-33.05164878,100.11,"1","457",50.6,2560.36,165.16,27277.826,8357.096,-165.16,-165.16,-165.16,-27277.83,-27277.8,-27277.8
"458","458","2922","-1","-1","-1",-50.6,-50.6,-50.6,-2560.36,-2560.36,-2560.36,-63.84282777,-33.05167325,102.72,"1","458",50.6,2560.36,166.1,27589.21,8404.66,-166.1,-166.1,-166.1,-27589.21,-27589.2,-27589.2
"459","459","2923","-1","-1","-1",-50.6,-50.6,-50.6,-2560.36,-2560.36,-2560.36,-63.84275749,-33.05169771,104.16,"1","459",50.6,2560.36,166.63,27765.557,8431.478,-166.63,-166.63,-166.63,-27765.56,-27765.5,-27765.5
"460","460","2924","-1","-1","-1",-50.6,-50.6,-50.6,-2560.36,-2560.36,-2560.36,-63.84268722,-33.05172218,102.46,"1","460",50.6,2560.36,162.86,26523.38,8240.716,-162.86,-162.86,-162.86,-26523.38,-26523.3,-26523.3
